,precision,recall,f1-score,support
ABBOTTS BABBLER,0.627906976744186,0.8307692307692308,0.7152317880794703,65.0
ABBOTTS BOOBY,0.6666666666666666,0.6197183098591549,0.6423357664233577,71.0
ABYSSINIAN GROUND HORNBILL,0.9125,0.948051948051948,0.929936305732484,77.0
AFRICAN CROWNED CRANE,1.0,1.0,1.0,50.0
AFRICAN EMERALD CUCKOO,0.8043478260869565,0.6491228070175439,0.7184466019417476,57.0
AFRICAN FIREFINCH,0.782608695652174,0.6666666666666666,0.72,54.0
AFRICAN OYSTER CATCHER,0.9565217391304348,0.9565217391304348,0.9565217391304348,69.0
AFRICAN PIED HORNBILL,0.7411764705882353,0.9,0.8129032258064517,70.0
AFRICAN PYGMY GOOSE,0.9122807017543859,0.9454545454545454,0.9285714285714285,55.0
ALBATROSS,0.7755102040816326,0.8837209302325582,0.826086956521739,43.0
ALBERTS TOWHEE,0.8333333333333334,0.819672131147541,0.8264462809917356,61.0
ALEXANDRINE PARAKEET,0.9459459459459459,0.9459459459459459,0.9459459459459459,74.0
ALPINE CHOUGH,0.8524590163934426,0.9285714285714286,0.888888888888889,56.0
ALTAMIRA YELLOWTHROAT,0.7580645161290323,0.6911764705882353,0.7230769230769231,68.0
AMERICAN AVOCET,0.9696969696969697,0.9846153846153847,0.9770992366412214,65.0
AMERICAN BITTERN,0.9516129032258065,0.8939393939393939,0.921875,66.0
AMERICAN COOT,0.8928571428571429,0.9433962264150944,0.9174311926605505,53.0
AMERICAN DIPPER,0.9871794871794872,0.9625,0.9746835443037976,80.0
AMERICAN FLAMINGO,1.0,1.0,1.0,60.0
AMERICAN GOLDFINCH,0.8225806451612904,0.8793103448275862,0.8500000000000001,58.0
AMERICAN KESTREL,0.8301886792452831,0.8627450980392157,0.8461538461538461,51.0
AMERICAN PIPIT,0.7415730337078652,0.9295774647887324,0.825,71.0
AMERICAN REDSTART,0.7777777777777778,0.7291666666666666,0.7526881720430108,48.0
AMERICAN ROBIN,0.875,0.7142857142857143,0.7865168539325842,49.0
AMERICAN WIGEON,0.8192771084337349,0.8947368421052632,0.8553459119496855,76.0
AMETHYST WOODSTAR,0.7954545454545454,0.5555555555555556,0.6542056074766356,63.0
ANDEAN GOOSE,0.9365079365079365,0.8676470588235294,0.9007633587786259,68.0
ANDEAN LAPWING,0.8157894736842105,0.7948717948717948,0.8051948051948051,39.0
ANDEAN SISKIN,0.7647058823529411,0.7090909090909091,0.7358490566037736,55.0
ANHINGA,0.890625,0.9047619047619048,0.8976377952755906,63.0
ANIANIAU,0.7321428571428571,0.8541666666666666,0.7884615384615384,48.0
ANNAS HUMMINGBIRD,0.475,0.76,0.5846153846153846,50.0
ANTBIRD,0.9032258064516129,0.4,0.5544554455445545,70.0
ANTILLEAN EUPHONIA,0.6428571428571429,0.5192307692307693,0.574468085106383,52.0
APAPANE,0.8955223880597015,0.9090909090909091,0.9022556390977443,66.0
APOSTLEBIRD,0.8571428571428571,0.8135593220338984,0.8347826086956522,59.0
ARARIPE MANAKIN,0.9545454545454546,1.0,0.9767441860465117,63.0
ASHY STORM PETREL,0.7283950617283951,0.7662337662337663,0.7468354430379747,77.0
ASHY THRUSHBIRD,0.7906976744186046,0.5074626865671642,0.6181818181818182,67.0
ASIAN CRESTED IBIS,0.9855072463768116,0.918918918918919,0.951048951048951,74.0
ASIAN DOLLARD BIRD,0.9636363636363636,0.8548387096774194,0.905982905982906,62.0
ASIAN GREEN BEE EATER,0.9894736842105263,1.0,0.9947089947089947,94.0
ASIAN OPENBILL STORK,0.9295774647887324,0.868421052631579,0.8979591836734694,76.0
AUCKLAND SHAQ,0.5952380952380952,0.4032258064516129,0.4807692307692307,62.0
AUSTRAL CANASTERO,0.631578947368421,0.8,0.7058823529411765,45.0
AUSTRALASIAN FIGBIRD,0.8461538461538461,0.5641025641025641,0.676923076923077,78.0
AVADAVAT,0.9375,0.8450704225352113,0.8888888888888888,71.0
AZARAS SPINETAIL,0.84375,0.7941176470588235,0.8181818181818182,68.0
AZURE BREASTED PITTA,0.9433962264150944,0.9803921568627451,0.9615384615384616,51.0
AZURE JAY,0.8545454545454545,0.8392857142857143,0.8468468468468467,56.0
AZURE TANAGER,0.9807692307692307,0.9272727272727272,0.9532710280373831,55.0
AZURE TIT,0.8840579710144928,0.7922077922077922,0.8356164383561644,77.0
BAIKAL TEAL,0.7758620689655172,0.8181818181818182,0.7964601769911505,55.0
BALD EAGLE,1.0,0.9666666666666667,0.983050847457627,60.0
BALD IBIS,0.9019607843137255,0.9787234042553191,0.9387755102040817,47.0
BALI STARLING,0.8823529411764706,0.9375,0.9090909090909091,48.0
BALTIMORE ORIOLE,0.8688524590163934,0.8548387096774194,0.8617886178861789,62.0
BANANAQUIT,0.8085106382978723,0.76,0.7835051546391754,50.0
BAND TAILED GUAN,0.821917808219178,0.821917808219178,0.821917808219178,73.0
BANDED BROADBILL,0.9696969696969697,0.8767123287671232,0.920863309352518,73.0
BANDED PITA,0.9615384615384616,0.9868421052631579,0.974025974025974,76.0
BANDED STILT,0.9545454545454546,0.7924528301886793,0.865979381443299,53.0
BAR-TAILED GODWIT,0.8666666666666667,0.7428571428571429,0.8,70.0
BARN OWL,1.0,0.9830508474576272,0.9914529914529915,59.0
BARN SWALLOW,0.9302325581395349,0.7142857142857143,0.8080808080808081,56.0
BARRED PUFFBIRD,0.65,0.7222222222222222,0.6842105263157895,54.0
BARROWS GOLDENEYE,0.86,0.6935483870967742,0.7678571428571428,62.0
BAY-BREASTED WARBLER,0.803921568627451,0.803921568627451,0.8039215686274509,51.0
BEARDED BARBET,0.875,0.9692307692307692,0.9197080291970802,65.0
BEARDED BELLBIRD,0.9473684210526315,1.0,0.972972972972973,54.0
BEARDED REEDLING,0.9444444444444444,0.918918918918919,0.9315068493150684,74.0
BELTED KINGFISHER,0.9615384615384616,0.9259259259259259,0.9433962264150944,54.0
BIRD OF PARADISE,0.9545454545454546,0.9545454545454546,0.9545454545454546,44.0
BLACK AND YELLOW BROADBILL,0.8636363636363636,0.9827586206896551,0.9193548387096775,58.0
BLACK BAZA,0.819672131147541,0.8620689655172413,0.8403361344537814,58.0
BLACK BREASTED PUFFBIRD,0.8356164383561644,0.9682539682539683,0.8970588235294118,63.0
BLACK COCKATO,0.9696969696969697,0.8,0.8767123287671234,40.0
BLACK FACED SPOONBILL,0.72,0.9818181818181818,0.8307692307692308,55.0
BLACK FRANCOLIN,0.8627450980392157,0.8,0.8301886792452831,55.0
BLACK HEADED CAIQUE,0.9850746268656716,0.9850746268656716,0.9850746268656716,67.0
BLACK NECKED STILT,0.8589743589743589,0.9571428571428572,0.9054054054054054,70.0
BLACK SKIMMER,0.9795918367346939,0.7619047619047619,0.8571428571428572,63.0
BLACK SWAN,0.9571428571428572,0.9852941176470589,0.9710144927536232,68.0
BLACK TAIL CRAKE,0.9859154929577465,0.9859154929577465,0.9859154929577465,71.0
BLACK THROATED BUSHTIT,0.9830508474576272,0.9666666666666667,0.9747899159663865,60.0
BLACK THROATED HUET,0.8148148148148148,0.88,0.8461538461538461,50.0
BLACK THROATED WARBLER,0.8421052631578947,0.6153846153846154,0.7111111111111111,52.0
BLACK VENTED SHEARWATER,0.7093023255813954,0.8356164383561644,0.7672955974842768,73.0
BLACK VULTURE,0.76,0.9344262295081968,0.838235294117647,61.0
BLACK-CAPPED CHICKADEE,0.8870967741935484,0.9821428571428571,0.9322033898305085,56.0
BLACK-NECKED GREBE,0.9090909090909091,0.9090909090909091,0.9090909090909091,55.0
BLACK-THROATED SPARROW,0.8513513513513513,0.9264705882352942,0.8873239436619719,68.0
BLACKBURNIAM WARBLER,0.8936170212765957,0.8076923076923077,0.8484848484848485,52.0
BLONDE CRESTED WOODPECKER,0.9649122807017544,0.9649122807017544,0.9649122807017544,57.0
BLOOD PHEASANT,1.0,1.0,1.0,66.0
BLUE COAU,0.8888888888888888,0.8135593220338984,0.8495575221238938,59.0
BLUE DACNIS,0.8533333333333334,0.8421052631578947,0.847682119205298,76.0
BLUE GRAY GNATCATCHER,0.7362637362637363,0.8481012658227848,0.788235294117647,79.0
BLUE GROSBEAK,0.8823529411764706,0.8695652173913043,0.8759124087591241,69.0
